Designator,Mid X,Mid Y,Rotation,Layer
BT1,122.9,-122.9,270.0,bottom
C1,132.8,-102.25,180.0,top
C101,170.4,-115.75,270.0,top
C102,167.73,-127.6,180.0,top
C103,155.0,-115.25,270.0,top
C104,159.47,-127.8,180.0,top
C105,157.5,-112.25,0.0,top
C106,168.25,-129.4,180.0,top
C107,165.75,-128.8,270.0,top
C108,159.25,-111.0,90.0,top
C109,154.2,-121.8125,90.0,top
C110,153.0,-121.8125,90.0,top
C111,153.47,-117.5,180.0,top
C120,150.22,-117.5,0.0,top
C130,136.0,-130.5,0.0,top
C140,148.75,-132.25,90.0,top
C2,109.8,-105.8,270.0,top
C3,154.0,-141.6,0.0,top
C301,180.75,-93.0,180.0,top
C302,180.75,-94.5,180.0,top
C304,152.5,-126.25,270.0,top
C4,111.4,-106.0,270.0,top
C401,126.915,-119.6125,90.0,top
C402,125.415,-120.1125,90.0,top
C403,108.25,-124.73,270.0,top
C406,119.0,-117.25,180.0,top
C407,139.45,-112.7625,180.0,top
C408,136.2,-114.7625,270.0,top
C409,134.7,-114.7625,270.0,top
C410,142.17,-112.5,90.0,top
C411,147.9325,-114.0,270.0,top
C412,141.0,-120.5,90.0,top
C413,147.0,-121.5,270.0,top
C415,130.75,-116.5,0.0,top
C416,133.0,-121.75,270.0,top
C417,133.0,-123.75,270.0,top
C418,141.75,-123.0,180.0,top
C5,136.8,-103.2,180.0,top
C501,115.25,-97.5,270.0,top
C502,119.75,-97.5,270.0,top
C503,121.75,-98.2,270.0,top
C504,131.75,-100.0,270.0,top
C6,148.5,-96.75,0.0,top
D1,116.0,-94.75,180.0,top
D10,173.8,-116.8,270.0,top
D102,146.75,-125.25,0.0,top
D103,179.35,-136.5,180.0,top
D11,173.8,-118.8,90.0,top
D2,175.25,-96.75,0.0,bottom
D201,172.5,-96.75,0.0,bottom
D3,124.24375,-109.45,0.0,top
D4,177.5,-96.75,180.0,bottom
D7,124.49,-132.7125,0.0,top
D8,113.5,-95.75,90.0,top
D9,181.25,-102.25,0.0,bottom
FB2,151.6,-122.2125,270.0,top
FB3,117.5,-96.75,0.0,top
HM-BT4052,147.0,-80.15,0.0,bottom
IC1,157.5,-126.75,0.0,bottom
IC2,162.5,-119.75,0.0,top
IC3,144.0,-120.75,0.0,bottom
IC6,139.35,-115.5125,180.0,top
IC8,117.945,-124.3,0.0,top
IC9,145.085,-113.75,270.0,top
J1,124.225,-89.75,90.0,top
J10,173.75,-103.25,90.0,top
J11,180.1875,-117.425,90.0,top
J12,108.25,-116.5,0.0,top
J13,161.11,-89.35,90.0,top
J14,115.5,-88.75,180.0,top
J16,107.0,-105.5,180.0,top
J3,170.87,-139.0,270.0,top
J4,156.21,-135.25,90.0,top
J5,136.25,-100.25,90.0,top
J6,152.25,-89.46,90.0,top
J7,151.75,-131.5,90.0,top
J8,178.53,-89.25,270.0,top
J9,180.015,-128.75,0.0,top
JP4,114.5,-105.25,90.0,top
L2,110.25,-121.75,90.0,top
Q2,117.25,-133.65,0.0,top
R1,114.245,-131.65,0.0,top
R101,151.0,-118.75,0.0,top
R103,150.25,-125.25,0.0,top
R104,175.925,-136.5,180.0,top
R105,159.25,-105.0,180.0,top
R2,135.25,-125.0,0.0,top
R201,157.4,-108.0,270.0,top
R202,157.4,-105.8,90.0,top
R203,171.1875,-124.05,0.0,top
R204,163.5,-130.0,270.0,top
R205,144.5,-102.75,0.0,top
R206,141.25,-102.75,180.0,top
R207,172.0,-94.0,270.0,top
R208,177.5,-94.0,90.0,top
R209,174.74,-94.0,90.0,top
R210,174.6875,-122.0,270.0,top
R211,174.6875,-124.5,90.0,top
R212,166.25,-92.35,270.0,top
R213,163.25,-92.35,270.0,top
R214,161.26,-92.35,270.0,top
R215,151.75,-93.0,270.0,top
R216,154.0,-93.0,270.0,top
R217,156.5,-93.0,270.0,top
R218,173.5,-129.25,0.0,top
R219,173.5,-127.5,0.0,top
R3,137.75,-122.0,90.0,top
R301,165.6,-101.5,270.0,top
R302,165.0,-107.0,0.0,top
R303,171.0,-121.3,0.0,top
R304,171.0,-120.05,0.0,top
R305,165.0,-104.75,0.0,top
R306,165.0,-103.1,0.0,top
R307,165.0,-110.0,90.0,top
R401,126.25,-127.75,180.0,top
R402,126.245,-126.5,180.0,top
R403,109.995,-124.25,180.0,top
R406,116.75,-130.9,180.0,top
R407,121.09,-132.7125,0.0,top
R408,135.75,-117.75,0.0,top
R409,142.25,-116.0125,270.0,top
R501,120.76875,-109.5,0.0,top
R502,122.35,-93.75,0.0,top
R503,109.5,-92.0,270.0,top
SW1,132.25,-134.4,180.0,top
SW4,143.0,-134.25,180.0,top
TP1,117.5,-99.5,0.0,top
TP2,135.25,-96.75,0.0,top
U1,130.7625,-118.5,0.0,top
U10,126.75,-100.35,270.0,top
U2,135.55,-122.75,270.0,top
U7,142.75,-105.5,90.0,top
Y1,152.0,-115.21,180.0,top
